,text
153,I've had several people ask me about my #DisruptJMM slide from my presentation - namely how to disrupt a microaggression at a talk.  They want to know how to help. I think this whole idea that user36 came up with might have an effect!
154,"#WhyWe #DisruptJMM

Overheard at #JMM2020 
WOC: can I join you?
WM: sure, we're not diverse enough."
155,Hey #DisruptJMM peeps! Tomorrow around 4:30 or 5 a group will be meeting to talk about a possible #SIGMAAJEDI (put together by SIGMAA QL)
156,"user107 Thanks to all of you for following along and to user266 for this amazing presentation. If anyone wants to clarify these points, add your own thoughts, or start discussions, please feel free to (respectively). #DisruptJMM user10 #JMM2020"
157,Four times! #DisruptJMM showed up four times on her slides!
158,Challenge for #DisruptJMM: How might something like Calling Bull fit into your curriculum? And how might teaching this course also change you as an instructor?
159,"Word, word, word, word, and WORD. #DisruptJMM #JMM2020 https://t.co/PkDvVslHHJ"
160,"The SECOND #DisruptJMM slide from user266 : Math is not neutral

The more there are, the more comfortable I feel in the room ❤️ https://t.co/aiqqvg6SGp"
161,"“The hard stuff isn’t teaching R.”

Justice takes work, from facing the political history of mathematics to making intentional spaces for discomfort to organizing unions. As teachers, our battle with neoliberalism and racial capitalism is eternal. #DisruptJMM https://t.co/e0QvZigJGw"
162,Shout-outs to #data4blacklives user146 and user218 from user266 for #DisruptJMM #JMM2020
163,"The hard stuff #DisruptJMM:
- Journey to critical studies
- What are the consequences of inaction?
It is normal to be worried that you're not ""qualified"" enough to teach on these complicated subjects. There's DataCamp for teaching R, there's nothing like that for teaching race."
164,user266 shares those fighting to close the digital divide.  We all need to demand #dataethics. #JMM2020 #DisruptJMM #WeaponsOfMathDestruction user146 #data4blacklives user235 https://t.co/TinJVMumTa
165,Important overlaps here with the user347 panel on ethics. #DisruptJMM #JMM2020 https://t.co/CBTWYbPiHm
166,"It is extremely hard for white people to address race and racism in the classroom. Thus, we often bail. This is not good for anybody. #DisruptJMM #JMM2020 https://t.co/SeGq2vIH9R"
167,user266 on teaching user351 with R: the hard part was not teaching R. #DisruptJMM #JMM2020 user235 https://t.co/WbenE10uAq
168,I was aggressed by a yt woman yesterday at #JMM2020 but it took me talking to user266 to understand. #DisruptJMM
169,“Remember that data are not neutral.” from user266 s talk on Calling Bull(shit) with R #disruptJMM https://t.co/NK292S2mFl
170,"Oh wow, awesome user250 !!
#DisruptJMM #JMM2020 https://t.co/T9seCJW7Zx"
171,Melody Chan uses her brief time at the podium accepting her award to #DisruptJMM and make the point that it is hard to be a research mathematician in this political climate but that we do have contributions to make.  #JMM2020 https://t.co/cNwQYuFc1b
172,"A person just walked in two-thirds into a talk, made a beeline for a particular chair, waited a minute, then grabbed something from the floor, waited two minutes, and then walked out of the room. That’s not what we mean by #disruptjmm #jmm2020"
173,A growing list of ways to participate in #DisruptJMM and #JEDI https://t.co/XRMSVKNOu4
174,"user91 user250 user130 user308 user36 user102 user172 user230 Thanks! 1) Amplify - RT and like things with #disruptJMM 2) Contribute - If you see a talk that references #disruptJMM, tweet about it and 3) Disrupt - Talk about JEDI issues in your own session, no matter what the area of talk! I'm sure others can add ideas :)"
175,"""We need to stop feeling bad about promoting ourselves and our work."" - Pamela Harris #DisruptJMM"
176,"“We need to shape Math in the way we want it to be!” - user242 

#JMM2020 #DisruptJMM"
177,.user242 is challenging our audience: Reach out to the closest institution to you today and ask if you can go there and give a talk on your research! Promote yourself! We decide what the math community will look like in 5 years - let’s start now! #JMM2020 #DisruptJMM
178,"user112  you were quoted many times this morning at user13 s amazing talk on difference, humanity and belonging in the mathematics classroom #JMM2020 #DisruptJMM https://t.co/bcyJTgP2n0"
179,"Returned home to be met with beautiful snow that ended up cancelling the meetings I returned home for. Sitting in the comfort of our own home, sipping user19 checking up on #DisruptJMM. ✊🏾 https://t.co/DZC0ClCOeo https://t.co/nXQhMivIUh"
180,#DisruptJMM #JMM https://t.co/uUyz4QYdZf
181,Missing big events on Oʻahu this week. Would love to do protocol here at #JMM2020 #DisruptJMM #HuliTheSystem
182,user165 user250 user130 user266 user308 user102 user172 user230 #DisruptJMM was my call to bring #JEDI issues (justice equity diversity inclusion) to the math talks instead of them only happening in social justice sessions.
183,user250 user130 user266 user308 user36 user102 user172 user230 I don't know what #DisruptJMM is about. But during my talk I mentioned an article about using Playboy images in signal processing papers. Does that count? https://t.co/xRQSapBRwu
