,tweet_id,sourcetweet_id,text,Self-organization,Building community,Broadening the counterpublic,Creating change in math,SJEDI,bipoc,gender,lgbtq,talk support,amplification,influencers,representation,thankful,emotional support,BC impact,SO impact,hashtags,indigenous,advocacy,CC impact,SJEDI impact,belonging,learning,virtual participation,power,math practice,strategic planning,conversation,humanize,allyship in math,math experience,jmm experience,futures,disrupteverything,economic,activation,current events,celebration,troll,beyond,Pre JMM 2020,JMM 2020,Inter JMM,JMM 2021,Post JMMs
77,1218560798605434881,1218556303234289666,Here's your reading list for when you go home and work on learning more. #disruptJMM #JMM2020 @JointMath https://t.co/5CkDrrXRnW,True,True,True,False,True,False,False,False,True,True,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
78,1218560454416457729,1218539796592644097,#disruptJMM https://t.co/z1Pld2nl2r,True,True,False,False,True,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
79,1218560009572954114,1218556303234289666,Whiteness (privilege) distinguishes itself by claiming to be undistinguished. What's a mathematical object that acts like this? #disruptJMM #JMM2020 @JointMath,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
80,1218559221454856192,1218556303234289666,A lot more overlaps with the @amermathsoc panel on ethics. #JMM2020 #DisruptJMM @JointMath https://t.co/Q0QHOghh6M,True,True,True,True,False,False,False,False,True,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
81,1218558142751170560,1218556303234289666,You should just think a lot about this entire slide. #DisruptJMM @JointMath #JMM2020 https://t.co/PdzVZg9qhr,True,True,True,True,False,False,False,False,True,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
82,1218557490838822912,1218556303234289666,The stereotype of a mathematician is lawful neutral. BK identifies as chaotic good. #DisruptJMM,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
84,1218543600813867009,1218539796592644097,"Harassment in mathematics is harmful for current and would-be mathematicians and also (though less important than the people harmed), as @WanderingPoint makes clear, directly harmful to mathematics itself #DisruptJMM #JMM2020 https://t.co/kZa7uBSfgK",True,True,True,True,True,False,True,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
85,1218540377247866881,1218178289916735488,@sbagley :-)  #DisruptJMM  I'll be thinking of you all.,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
86,1218539796592644097,1218331343718768642,Here it is. #DisruptJMM https://t.co/pIPCd6Nu9s https://t.co/DdGBGsLBKe,True,True,False,True,True,False,True,False,False,True,False,True,False,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False
87,1218422109614927872,1218393563215433728,@BikeMath There's always next year! #DisruptJMM #DisruptMath,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
88,1218416725919555584,1218407477680562178,#DisruptJMM with this talk tomorrow!! https://t.co/mGRGGOM4Ta,True,True,False,True,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
89,1218405563425488896,1217988532775587840,LOVE the #DisruptJMM tag! Math is not ever neutral! https://t.co/OdIl8a5umq,True,True,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
90,1218405094636642304,1218386133379362817,#DisruptJMM https://t.co/79MUOpcfLj,True,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
92,1218388039749136384,1218373667123539973,Okay - talk done and sent to organizer. Now I can continue to #DisruptJMM,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
93,1218379608069787648,1218373480447709184,This is for those that aren't here as much as the ones that are here. #disruptJMM https://t.co/bhhfE382Dp,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False
95,1218371689131712517,1218369366833668096,"Interestingly, there's also research suggesting a similar phenomenon with TAs who engage in Prof Dev around teaching (bio community data - blanking on the paper). But we all thought being interested in teaching would distract you. Turns out it's the same with JEDI. #DisruptJMM https://t.co/Y7luSfhWqU",True,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
102,1218297888192811008,1218258376544735232,@gitanjalivi This doesn’t seem to be common in the USA. This point was brought home to me in a talk given by @LoboWithACause @JointMath earlier this week. I felt strongly that something needed to be done to acknowledge the #DisruptJMM issues he brought up...,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
104,1218285695527202821,1218221771377258496,The poster in question. Notes that the drugs are expensive; what can we do about that? @amermathsoc @JointMath #DisruptJMM #JMM2020 https://t.co/NwkBgOSBKM,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False
106,1218253099674079234,1218246157136203776,@BresockCalculus What’s #DisruptJMM ?,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False
110,1218231689706500096,1218227018531332096,"Note to me: look for @nancyekress's work in the MTEP proceedings. https://t.co/9FH6LqtP7K
#DisruptJMM #JMM2020 @JointMath",False,True,True,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
112,1218230294588862464,1218227018531332096,".@nancyekress suggests that taking a different approach to mathematical epistemology, and thus broadening your perception of what counts as ""mathematical"" participation, helps #DisruptJMM that hegemony. #JMM2020 @JointMath",True,False,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
114,1218229731423916032,1218227018531332096,"Mathematics is currently the province of a particular cultural group. Therefore, it not only *reflects* the hegemony of that group, but *reinforces* the hegemony of that group. No points for guessing which group. #DisruptJMM #JMM2020 @JointMath https://t.co/VVDsVuI3OJ",True,True,True,False,True,True,False,False,True,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
115,1218228786514354178,1218227018531332096,"Figured out @nancyekress's Twitter handle, belatedly. This feels like a really important theoretical contribution. #DisruptJMM #JMM2020 @JointMath https://t.co/pGgr8j6fUT",False,True,True,True,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
116,1218227680291827714,1218227018531332096,A feminist epistemology of mathematics challenges the absolutism that characterizes how we think about truth in mathematics. This is really important because we have spent way not enough time examining our epistemological foundations. #DisruptJMM #JMM2020 @JointMath,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
120,1218221771377258496,1217922723785125888,There's an @amermathsoc poster down by the ballroom in which we congratulate ourselves on the mathematical contributions we made to the fight against HIV. Here's another number that we're curiously silent about. #DisruptJMM @JointMath https://t.co/DsUxnFxeGe,False,True,True,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
122,1218217185887297536,1218178289916735488,"@joshlaison @WanderingPoint Yay! Now, get 👏 in 👏 the 👏 hashtag!! #DisruptJMM",False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
123,1218214270426591232,1218203393069658117,"A question spurred by the question session: What are the equity implications of using paid textbooks from for-profit textbook publishers, and how bananas is it that we are *just now* starting to ask this question in systematic ways? #DisruptJMM #JMM2020 @JointMath",True,True,True,False,True,False,False,False,True,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False
124,1218213610150756355,1218177871006588933,"#DisruptJMM We mathematicians have a responsibility to serve our communities, particularly those marginalized and underrepresented. https://t.co/GArlSqsSC9",True,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
128,1218200164642557953,1218189123309252610,Rad. #DisruptJMM https://t.co/gbFpNxzEIn,True,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
133,1218185788203995136,1218000495530237952,Details: This will be at Leela Cafe from 4:30 to 5:30! Can't wait for this! #SIGMAAJEDI #DisruptJMM https://t.co/2dpCmWGWYN,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
135,1218175121212362755,1218105527269392384,"@LoboWithACause @pwr2dppl In Australia, we acknowledge the indigenous custodianship and law of country of the land on which we meet and pay our respects to those who care for country. What is the right way to do this here @JointMath  @pwr2dppl @LoboWithACause ?#disruptJMM",True,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False
136,1218166321268944896,1218105531841122306,"Yeah, so, btw, @FedericoArdila absolutely packed Ballroom 1. There's no good reason not to put e.g. his talk in 2-3-4. #DisruptJMM #JEDIMath #JMM2020 https://t.co/3P1T3cNKsy",True,True,True,False,False,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
137,1218162558990815232,1218160375171932163,"For my new followers:

I developed a class last summer called Fractals, Algorithms, and Us. I wanted to build an inclusive class where STEM students could learn math while having space to talk/journal about power/justice. #JMM2020 and #DisruptJMM have shown me I’m not alone 💜",False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
140,1218129243294650370,1218036229649981440,Great advice! Lots of interesting voices if you follow everyone tweeting with #disruptJMM. https://t.co/zFnJ1pdkej,True,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
141,1218105535087558663,1218105527269392384,"#DisruptJMM because speaking out can be scary, but can help when you know a community has your back. https://t.co/SV7jcCCHhs",True,True,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
142,1218105533976104961,1218105527269392384,"#DisruptJMM because we need mathematics events that make celebrating our cultures, histories, and communities the new norm  https://t.co/YtSuzlpiu3",True,True,False,True,True,False,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
143,1218105532994580480,1218105527269392384,#DisruptJMM because it's a start to hold organizations accountable https://t.co/ZhtMFfcRUF,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
144,1218105531841122306,1218105527269392384,"#DisruptJMM because talks centered and focused on #JEDI are STILL not adequately present on the main stage, thus providing the opportunity for those most needing to hear these perspectives the option to skip these conversations https://t.co/J234HkWH9L",True,False,False,True,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False
145,1218105530817765376,1218105527269392384,#DisruptJMM because math is not neutral and we certainly can't pretend entire mathematics organizations and events are inherently provide equitable experiences https://t.co/dyE6Dm3Vbw,True,True,False,True,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
